Date,Visitor,VisitorPts,Home,HomePts
10/30/2013,GSW,94,ORL,81
10/30/2013,BRK,92,SAS,113
10/30/2013,PHI,114,DEN,102
10/30/2013,CHA,85,LAC,112
10/30/2013,NOP,112,MIN,124
10/30/2013,IND,82,TOR,95
10/30/2013,DAL,87,WAS,78
10/30/2013,BOS,82,CHI,94
10/30/2013,ORL,81,CLE,87
10/30/2013,GSW,123,MIA,114
10/30/2013,BRK,95,OKC,93
10/30/2013,MEM,99,PHO,91
10/30/2013,CHA,104,POR,134
10/30/2013,PHI,113,SAC,104
10/30/2013,NYK,105,SAS,101
10/30/2013,MIL,87,UTA,96
10/30/2013,GSW,101,ATL,100
10/30/2013,NOP,95,BOS,92
10/30/2013,LAC,119,DAL,112
10/30/2013,MEM,108,DEN,111
10/30/2013,NYK,100,HOU,102
10/30/2013,UTA,99,LAL,110
10/30/2013,TOR,101,WAS,88
10/30/2013,CLE,82,BRK,89
10/30/2013,ATL,84,CHI,91
10/30/2013,NOP,82,IND,99
10/30/2013,OKC,115,MIN,111
10/30/2013,MIA,110,ORL,94
10/30/2013,MIL,100,PHO,116
10/30/2013,PHI,101,POR,99
10/30/2013,CHA,113,SAC,103
10/30/2013,LAC,92,SAS,116
10/30/2013,IND,82,CLE,78
10/30/2013,NYK,92,DAL,80
10/30/2013,MEM,112,DET,84
10/30/2013,DEN,137,LAL,115
10/30/2013,TOR,97,MIA,102
10/30/2013,BOS,96,OKC,119
10/30/2013,GSW,112,WAS,96
10/30/2013,ATL,86,BRK,91
10/30/2013,ORL,81,LAC,101
10/30/2013,MIN,126,PHI,95
10/30/2013,WAS,97,CHA,83
10/30/2013,PHO,87,CHI,92
10/30/2013,PHI,93,CLE,111
10/30/2013,LAL,97,DAL,110
10/30/2013,BOS,98,DEN,129
10/30/2013,TOR,79,IND,86
10/30/2013,SAS,110,MEM,108
10/30/2013,NOP,88,MIA,107
10/30/2013,GSW,101,MIL,80
10/30/2013,DET,85,NYK,89
10/30/2013,POR,119,SAC,123
10/30/2013,OKC,101,UTA,112
10/30/2013,IND,87,ATL,97
10/30/2013,GSW,98,BRK,102
10/30/2013,LAL,99,HOU,113
10/30/2013,BOS,105,LAC,111
10/30/2013,PHO,104,MIN,103
10/30/2013,WAS,102,NOP,96
10/30/2013,ORL,94,POR,110
10/30/2013,DAL,90,SAS,112
10/30/2013,DET,91,TOR,112
10/30/2013,OKC,88,DEN,101
10/30/2013,MIA,92,NYK,102
10/30/2013,HOU,80,ATL,83
10/30/2013,MIA,95,BRK,104
10/30/2013,BOS,97,GSW,99
10/30/2013,WAS,66,IND,93
10/30/2013,LAL,87,LAC,123
10/30/2013,PHO,99,MEM,104
10/30/2013,CHI,81,MIL,72
10/30/2013,CHA,92,MIN,119
10/30/2013,DAL,107,NOP,90
10/30/2013,DET,114,PHI,104
10/30/2013,ORL,83,SAC,103
10/30/2013,CLE,113,UTA,102
10/30/2013,CHA,97,CHI,103
10/30/2013,NOP,107,DAL,110
10/30/2013,ORL,94,DEN,120
10/30/2013,PHO,108,DET,110
10/30/2013,MIL,85,OKC,101
10/30/2013,NYK,102,PHI,92
10/30/2013,BOS,104,POR,112
10/30/2013,BRK,80,TOR,96
10/30/2013,HOU,114,WAS,107
10/30/2013,ATL,101,MEM,108
10/30/2013,CLE,80,SAC,124
10/30/2013,MIN,86,SAS,104
10/30/2013,HOU,104,BOS,92
10/30/2013,WAS,102,CHI,88
10/30/2013,ORL,88,DAL,107
10/30/2013,SAS,101,NOP,95
10/30/2013,PHO,96,NYK,98
10/30/2013,MIL,94,TOR,116
10/30/2013,DEN,103,UTA,118
10/30/2013,NYK,98,CHA,108
10/30/2013,SAC,92,IND,116
10/30/2013,CLE,120,LAL,118
10/30/2013,OKC,87,MEM,90
10/30/2013,TOR,83,BOS,88
10/30/2013,DEN,123,GSW,116
10/30/2013,DAL,127,LAC,129
10/30/2013,MEM,82,MIL,77
10/30/2013,SAC,111,MIN,108
10/30/2013,HOU,103,NOP,100
10/30/2013,CHI,128,ORL,125
10/30/2013,CHA,92,PHI,95
10/30/2013,LAL,114,PHO,121
10/30/2013,CLE,96,POR,108
10/30/2013,UTA,105,SAS,109
10/30/2013,MIA,97,WAS,114
10/30/2013,BRK,127,ATL,110
10/30/2013,OKC,104,HOU,92
10/30/2013,NYK,89,IND,117
10/30/2013,LAL,107,BOS,104
10/30/2013,CLE,117,DEN,109
10/30/2013,UTA,110,DET,89
10/30/2013,SAC,90,MEM,91
10/30/2013,LAC,109,NYK,95
10/30/2013,GSW,121,OKC,127
10/30/2013,CHA,111,ORL,101
10/30/2013,MIA,101,PHI,86
10/30/2013,DAL,110,PHO,107
10/30/2013,POR,109,SAS,100
10/30/2013,MIN,89,TOR,94
10/30/2013,CHI,93,WAS,96
10/30/2013,MIA,104,CHA,96
10/30/2013,PHI,78,CHI,103
10/30/2013,POR,127,DAL,111
10/30/2013,MIL,104,HOU,114
10/30/2013,LAC,92,IND,106
10/30/2013,UTA,72,MIN,98
10/30/2013,GSW,97,NOP,87
10/30/2013,DET,104,WAS,98
10/30/2013,SAC,93,OKC,108
10/30/2013,BOS,91,ORL,93
10/30/2013,DEN,103,PHO,117
10/30/2013,MIL,82,SAS,110
10/30/2013,LAL,112,TOR,106
10/30/2013,MIA,114,ATL,121
10/30/2013,TOR,95,CHA,100
10/30/2013,LAL,100,CHI,102
10/30/2013,DAL,102,CLE,97
10/30/2013,LAC,112,DET,103
10/30/2013,IND,102,GSW,94
10/30/2013,POR,113,HOU,126
10/30/2013,NOP,95,MEM,92
10/30/2013,BRK,103,NYK,80
10/30/2013,PHI,99,WAS,107
10/30/2013,ORL,90,BRK,101
10/30/2013,BOS,86,MIA,93
10/30/2013,SAC,114,NOP,97
10/30/2013,POR,97,OKC,105
10/30/2013,MIN,112,UTA,97
10/30/2013,LAC,91,CHA,95
10/30/2013,CHI,98,CLE,87
10/30/2013,SAC,98,HOU,119
10/30/2013,DET,101,MIL,104
10/30/2013,PHI,110,NYK,106
10/30/2013,ATL,112,ORL,109
10/30/2013,IND,100,PHO,124
10/30/2013,OKC,111,SAS,105
10/30/2013,DAL,85,TOR,93
10/30/2013,BOS,113,WAS,111
10/30/2013,LAL,102,MIA,109
10/30/2013,DEN,105,POR,110
10/30/2013,SAS,105,ATL,79
10/30/2013,OKC,101,BOS,83
10/30/2013,DAL,106,BRK,107
10/30/2013,LAC,112,CHI,95
10/30/2013,MIL,78,CLE,93
10/30/2013,NOP,103,DET,101
10/30/2013,MIN,121,GSW,120
10/30/2013,MEM,88,HOU,87
10/30/2013,CHA,96,NYK,125
10/30/2013,LAL,105,ORL,114
10/30/2013,TOR,104,PHI,95
10/30/2013,WAS,101,PHO,95
10/30/2013,IND,116,SAC,111
10/30/2013,CHI,89,CHA,87
10/30/2013,IND,96,DEN,109
10/30/2013,HOU,81,MEM,99
10/30/2013,ATL,112,MIL,87
10/30/2013,OKC,103,PHI,91
10/30/2013,MIN,104,POR,115
10/30/2013,LAC,126,TOR,118
10/30/2013,WAS,101,UTA,104
10/30/2013,BRK,85,BOS,79
10/30/2013,PHO,99,CLE,90
10/30/2013,DET,106,DAL,116
10/30/2013,POR,88,GSW,103
10/30/2013,SAS,101,MIA,113
10/30/2013,ORL,92,NOP,100
10/30/2013,LAL,103,NYK,110
10/30/2013,DEN,125,SAC,117
10/30/2013,TOR,104,BRK,103
10/30/2013,MIN,95,CHI,86
10/30/2013,LAC,114,MIL,86
10/30/2013,ATL,109,OKC,111
10/30/2013,PHO,124,PHI,113
10/30/2013,SAC,99,UTA,106
10/30/2013,NOP,100,CLE,89
10/30/2013,ORL,87,DET,103
10/30/2013,WAS,88,GSW,85
10/30/2013,SAS,90,HOU,97
10/30/2013,IND,104,LAL,92
10/30/2013,BOS,88,NYK,114
10/30/2013,MEM,98,POR,81
10/30/2013,PHI,95,BOS,94
10/30/2013,HOU,117,DAL,115
10/30/2013,CHA,101,DEN,98
10/30/2013,WAS,103,LAC,110
10/30/2013,OKC,112,MIA,95
10/30/2013,PHO,126,MIL,117
10/30/2013,NOP,77,MIN,88
10/30/2013,MEM,99,SAC,89
10/30/2013,CHI,96,SAS,86
10/30/2013,ORL,83,TOR,98
10/30/2013,LAC,92,GSW,111
10/30/2013,PHO,102,IND,94
10/30/2013,CLE,86,NYK,117
10/30/2013,OKC,120,BRK,95
10/30/2013,SAC,103,DAL,107
10/30/2013,TOR,100,DEN,90
10/30/2013,CHA,110,LAL,100
10/30/2013,MEM,94,MIN,90
10/30/2013,MIL,102,ORL,113
10/30/2013,ATL,125,PHI,99
10/30/2013,GSW,95,UTA,90
10/30/2013,MIN,113,ATL,120
10/30/2013,PHI,96,DET,113
10/30/2013,CLE,92,HOU,106
10/30/2013,BRK,96,IND,97
10/30/2013,UTA,87,LAC,102
10/30/2013,MIL,90,MEM,99
10/30/2013,CHI,79,NOP,88
10/30/2013,MIA,106,NYK,91
10/30/2013,CHA,95,PHO,105
10/30/2013,TOR,103,POR,106
10/30/2013,SAC,93,SAS,95
10/30/2013,OKC,81,WAS,96
10/30/2013,ORL,89,BOS,96
10/30/2013,PHI,102,BRK,108
10/30/2013,CLE,107,DAL,124
10/30/2013,LAC,115,DEN,116
10/30/2013,ORL,79,IND,98
10/30/2013,DET,96,MIA,102
10/30/2013,NYK,98,MIL,101
10/30/2013,SAS,102,NOP,95
10/30/2013,MEM,77,OKC,86
10/30/2013,CHI,70,SAC,99
10/30/2013,TOR,94,UTA,79
10/30/2013,POR,90,WAS,100
10/30/2013,IND,89,ATL,85
10/30/2013,CHA,91,GSW,75
10/30/2013,LAL,99,MIN,109
10/30/2013,CHI,101,PHO,92
10/30/2013,LAL,119,CLE,108
10/30/2013,MIL,100,DEN,110
10/30/2013,PHO,108,HOU,122
10/30/2013,MIA,116,LAC,112
10/30/2013,DAL,110,MEM,96
10/30/2013,ATL,100,NOP,105
10/30/2013,POR,94,NYK,90
10/30/2013,MIN,97,OKC,106
10/30/2013,DET,98,ORL,112
10/30/2013,BOS,114,PHI,108
10/30/2013,TOR,101,SAC,109
10/30/2013,SAS,125,WAS,118
10/30/2013,SAS,89,BRK,103
10/30/2013,CHI,87,GSW,102
10/30/2013,SAC,89,BOS,99
10/30/2013,UTA,81,DAL,103
10/30/2013,BRK,95,DET,111
